Source	f50	tp	Target
ABL1_HUMAN	2	tp_2	CDK5_HUMAN_Y15
KPC_HUMAN	10	tp_2	KPCE_HUMAN_S368
SRC_HUMAN	4	tp_2	MYLK_HUMAN_Y471
PDPK1_HUMAN	7.5	tp_2	SGK1_HUMAN_S422
MP2K1_HUMAN_S222	23.75	tp_2	MP2K1_HUMAN
RET_HUMAN_S696	3	tp_2	RET_HUMAN
JNK_HUMAN_Y78	52	tp_2	JNK_HUMAN
CDK5_HUMAN_Y15	10	tp_2	CDK5_HUMAN
KPCE_HUMAN_S368	10	tp_2	KPCE_HUMAN
MYLK_HUMAN_Y471	4	tp_2	MYLK_HUMAN
SGK1_HUMAN_S422	7.5	tp_2	SGK1_HUMAN
PAK1_HUMAN	9.5	tp_2	STMN1_HUMAN_S25
ATR_HUMAN	11	tp_2	CHK1_HUMAN_S296
MK01_HUMAN	12.25	tp_2	MAPK2_HUMAN_T25
CHK1_HUMAN_S296	11	tp_2	CHK1_HUMAN
MAPK2_HUMAN_T25	12.25	tp_2	MAPK2_HUMAN
CSK21_HUMAN	9	tp_2	STMN1_HUMAN_S16
SRC_HUMAN	21	tp_2	PAK2_HUMAN_Y130
PAK2_HUMAN_Y130	21	tp_2	PAK2_HUMAN
KS6A5_HUMAN	3.75	tp_2	STAT3_HUMAN_S727
MK03_HUMAN	4.75	tp_2	SRC8_HUMAN_S405
FYN_HUMAN	2	tp_2	p38_HUMAN_Y323
p38_HUMAN_Y323	2	tp_2	p38_HUMAN
AKT_HUMAN	8	tp_2	GSK3A_HUMAN_S21
KKCC2_HUMAN	3	tp_2	KCC4_HUMAN_T200
ATR_HUMAN	2.75	tp_2	CHK1_HUMAN_S345
CSK21_HUMAN	3.5	tp_2	KS6A5_HUMAN_S758
CHK1_HUMAN_S345	2.75	tp_2	CHK1_HUMAN
KS6A5_HUMAN_S758	3.5	tp_2	KS6A5_HUMAN
MK03_HUMAN	6.5	tp_2	EXOC7_HUMAN_S250
PAK1_HUMAN	11	tp_2	VIME_HUMAN_S73
KPCD_HUMAN	4	tp_2	GSK3A_HUMAN_S21
PAK2_HUMAN	2.5	tp_2	VIME_HUMAN_S39
p38_HUMAN	1	tp_2	MAPK2_HUMAN_T317
MK03_HUMAN	4.25	tp_2	KS6A5_HUMAN_S376
MAPK2_HUMAN_T317	1	tp_2	MAPK2_HUMAN
KS6A5_HUMAN_S376	4.25	tp_2	KS6A5_HUMAN
p38_HUMAN	15	tp_2	STMN1_HUMAN_S25
PAK2_HUMAN	10.5	tp_2	VIME_HUMAN_S73
PDPK1_HUMAN	3	tp_2	KS6B1_HUMAN_T252
KS6B1_HUMAN_T252	3	tp_2	KS6B1_HUMAN
SRC_HUMAN	1	tp_2	KS6A3_HUMAN_Y644
KS6A3_HUMAN_Y644	1	tp_2	KS6A3_HUMAN
SRC_HUMAN	1	tp_2	ABL1_HUMAN_Y393
ABL1_HUMAN_Y393	1	tp_2	ABL1_HUMAN
KPC_HUMAN	4	tp_2	ARBK1_HUMAN_S685
AAPK_HUMAN	1	tp_2	MTOR_HUMAN_T2446
ATR_HUMAN	2	tp_2	CHK2_HUMAN_S19
CHK2_HUMAN_S19	2	tp_2	CHK2_HUMAN
KAPCA_HUMAN	6.75	tp_2	KC1A_HUMAN_S218
EGFR_HUMAN	1	tp_2	ERBB2_HUMAN_Y1248
KC1A_HUMAN_S218	6.75	tp_2	KC1A_HUMAN
ERBB2_HUMAN_Y1248	1	tp_2	ERBB2_HUMAN
CSK22_HUMAN	1	tp_2	ACACA_HUMAN_S29
CSK22_HUMAN	1	tp_2	PTN1_HUMAN_S352
GSK3B_HUMAN	1	tp_2	CSK22_HUMAN_Y256
CSK22_HUMAN_Y256	1	tp_2	CSK22_HUMAN
MK03_HUMAN	1	tp_2	NUP50_HUMAN_S221
FYN_HUMAN	8	tp_2	CDK5_HUMAN_Y15
PAK1_HUMAN	2.25	tp_2	MYL9_HUMAN_S20
MYLK_HUMAN	1	tp_2	MYL9_HUMAN_T19
KS6A3_HUMAN	2	tp_2	GSK3A_HUMAN_S21
JNK_HUMAN	3	tp_2	STMN1_HUMAN_S25
MAPK2_HUMAN	3	tp_2	HSPB1_HUMAN_S82
SRC_HUMAN	1	tp_2	ARBK1_HUMAN_Y92
ARBK1_HUMAN_Y92	1	tp_2	ARBK1_HUMAN
AKT_HUMAN	1	tp_2	F262_HUMAN_S466
KC1A_HUMAN	2	tp_2	MK03_HUMAN_Y204
KAPCA_HUMAN	1	tp_2	F262_HUMAN_S466
MK01_HUMAN	1	tp_2	STAT3_HUMAN_S727
CSK21_HUMAN	1.25	tp_2	KS6A5_HUMAN_S759
KS6A5_HUMAN_S759	1.25	tp_2	KS6A5_HUMAN
STK11_HUMAN	8.5	tp_2	PAK1_HUMAN_T109
PAK1_HUMAN_T109	8.5	tp_2	PAK1_HUMAN
KPCE_HUMAN	1	tp_2	STAT3_HUMAN_S727
CDK5_HUMAN	4.25	tp_2	STAT3_HUMAN_S727
KPCD_HUMAN	1	tp_2	KPCD1_HUMAN_S742
KC1A_HUMAN	5	tp_2	HNRPC_HUMAN_S260
CSK21_HUMAN	53	tp_3	CALX_HUMAN_S564
CDK2_HUMAN	26	tp_3	CCDC6_HUMAN_S244
CDK2_HUMAN	37	tp_3	KAP0_HUMAN_S83
CDK2_HUMAN	60	tp_3	NUCKS_HUMAN_S181
KPCD1_HUMAN	67	tp_3	RABE1_HUMAN_S407
JNK_HUMAN	62	tp_3	4ET_HUMAN_S374
CSK21_HUMAN	62	tp_3	CTNA1_HUMAN_S641
KAPCA_HUMAN	56	tp_3	CBX3_HUMAN_S93
MARK1_HUMAN	69	tp_3	MAP4_HUMAN_S928
AKT_HUMAN	19	tp_3	MDM2_HUMAN_S166
KS6B1_HUMAN	67	tp_3	NCBP1_HUMAN_S22
CDK1_HUMAN	60	tp_3	ADDA_HUMAN_S12
CDK1_HUMAN	64	tp_3	LMNB1_HUMAN_S23
KAPCA_HUMAN	63	tp_3	SUN2_HUMAN_S12
STK11_HUMAN	90	tp_3	MARK1_HUMAN_S219
MARK1_HUMAN_S219	90	tp_3	MARK1_HUMAN
CSK21_HUMAN	56	tp_3	CALX_HUMAN_S554
KPC_HUMAN	63	tp_3	MARCS_HUMAN_S101
GSK3B_HUMAN	68	tp_3	DPYL2_HUMAN_T509
PAK2_HUMAN	33	tp_3	VIME_HUMAN_S66
KS6B1_HUMAN	18	tp_3	MDM2_HUMAN_S166
MK01_HUMAN	60	tp_3	ERF_HUMAN_T526
CDK16_HUMAN	13	tp_3	KAP0_HUMAN_S83
MK01_HUMAN	12	tp_3	CCDC6_HUMAN_S244
KAPCA_HUMAN	1	tp_3	CDK16_HUMAN_S159
CDK16_HUMAN_S159	1	tp_3	CDK16_HUMAN
DAPK3_HUMAN	18	tp_3	MDM2_HUMAN_S166
MAPK2_HUMAN	4.33333333333333	tp_3	MDM2_HUMAN_S166
AKT_HUMAN	32.3333333333333	tp_3	IF4B_HUMAN_S422
MARK1_HUMAN	64	tp_3	MAP4_HUMAN_S1073
SGK1_HUMAN	6	tp_3	MDM2_HUMAN_S166
PRKDC_HUMAN	11	tp_3	MDM2_HUMAN_S166
MP2K4_HUMAN	3.66666666666667	tp_3	JNK_HUMAN_Y185
ROCK1_HUMAN	3	tp_3	DAPK3_HUMAN_T265
JNK_HUMAN_Y185	3.66666666666667	tp_3	JNK_HUMAN
DAPK3_HUMAN_T265	3	tp_3	DAPK3_HUMAN
CDK4_HUMAN	19	tp_3	KAP0_HUMAN_S83
PAK1_HUMAN	19	tp_3	VIME_HUMAN_S66
YES_HUMAN	11	tp_3	CDK4_HUMAN_Y17
CSK_HUMAN	9	tp_3	YES_HUMAN_Y345
CDK4_HUMAN_Y17	18	tp_3	CDK4_HUMAN
YES_HUMAN_Y345	9	tp_3	YES_HUMAN
KS6B1_HUMAN	8.33333333333333	tp_3	IF4B_HUMAN_S422
MK03_HUMAN	14	tp_3	CALX_HUMAN_S564
MP2K4_HUMAN	2	tp_3	JNK_HUMAN_S377
LYN_HUMAN	10	tp_3	CDK4_HUMAN_Y17
JNK_HUMAN_S377	2	tp_3	JNK_HUMAN
STK11_HUMAN	1	tp_3	MARK1_HUMAN_T215
MARK1_HUMAN_T215	1	tp_3	MARK1_HUMAN
AURKB_HUMAN	15.6666666666667	tp_3	VIME_HUMAN_S66
MP2K4_HUMAN	1	tp_3	JNK_HUMAN_S284
JNK_HUMAN_S284	1	tp_3	JNK_HUMAN
KAPCA_HUMAN	11	tp_3	CDK16_HUMAN_S153
CDK16_HUMAN_S153	11	tp_3	CDK16_HUMAN
CDK7_HUMAN	1	tp_3	CDK4_HUMAN_T172
KPCI_HUMAN	1	tp_3	CDK7_HUMAN_T170
SRC_HUMAN	1	tp_3	KPCI_HUMAN_Y334
CDK4_HUMAN_T172	1	tp_3	CDK4_HUMAN
CDK7_HUMAN_T170	1	tp_3	CDK7_HUMAN
KPCI_HUMAN_Y334	1	tp_3	KPCI_HUMAN
MARK4_HUMAN	1	tp_3	MAP4_HUMAN_S1073
STK11_HUMAN	1	tp_3	MARK4_HUMAN_S23
MARK4_HUMAN_S23	1	tp_3	MARK4_HUMAN
MK03_HUMAN	2	tp_3	CCDC6_HUMAN_S244
MP2K4_HUMAN	2.66666666666667	tp_3	JNK_HUMAN_T228
JNK_HUMAN_T228	2.66666666666667	tp_3	JNK_HUMAN
KS6A1_HUMAN	8	tp_3	IF4B_HUMAN_S422
EGFR_HUMAN	4	tp_3	LYN_HUMAN_Y32
LYN_HUMAN_Y32	4	tp_3	LYN_HUMAN
CSK_HUMAN	2	tp_3	YES_HUMAN_Y537
YES_HUMAN_Y537	2	tp_3	YES_HUMAN
KPC_HUMAN	2	tp_3	KPCD1_HUMAN_S738
AKT_HUMAN	1	tp_3	STK4_HUMAN_T120
KPCD1_HUMAN_S738	2	tp_3	KPCD1_HUMAN
STK4_HUMAN_T120	1	tp_3	STK4_HUMAN
KPC_HUMAN	2	tp_3	LMNB1_HUMAN_S23
SRC_HUMAN	1	tp_3	EGFR_HUMAN_Y1110
EGFR_HUMAN_Y1110	1	tp_3	EGFR_HUMAN
MP2K4_HUMAN	1	tp_3	JNK_HUMAN_Y223
JNK_HUMAN_Y223	1	tp_3	JNK_HUMAN
KAPCA_HUMAN	1	tp_3	CDK16_HUMAN_S227
CDK16_HUMAN_S227	1	tp_3	CDK16_HUMAN
AKT_HUMAN	1	tp_3	STK4_HUMAN_T387
STK4_HUMAN_T387	1	tp_3	STK4_HUMAN
CDK2_HUMAN	68	tp_4	FOXK2_HUMAN_S428
CDK2_HUMAN	66	tp_4	NBN_HUMAN_S432
CDK2_HUMAN	68	tp_4	TOIP1_HUMAN_S143
KPCD1_HUMAN	64	tp_4	ARFP1_HUMAN_S132
JNK_HUMAN	33	tp_4	ATF2_HUMAN_T71
JNK_HUMAN	52	tp_4	ATF2_HUMAN_T69
MK01_HUMAN	64	tp_4	STIM1_HUMAN_S575
STK38_HUMAN	51	tp_4	YAP1_HUMAN_S109
PLK1_HUMAN	43	tp_4	APC1_HUMAN_S688
PAK1_HUMAN	66	tp_4	MORC2_HUMAN_S739
EF2K_HUMAN	60	tp_4	EF2_HUMAN_T57
KAPCA_HUMAN	49	tp_4	STK38_HUMAN_S10
KAPCA_HUMAN	44	tp_4	EF2K_HUMAN_S366
STK38_HUMAN_S10	49	tp_4	STK38_HUMAN
EF2K_HUMAN_S366	44	tp_4	EF2K_HUMAN
JNK_HUMAN	64	tp_4	YAP1_HUMAN_T154
JNK_HUMAN	20	tp_4	STMN1_HUMAN_S38
CDK1_HUMAN	62	tp_4	UNG_HUMAN_S64
CDK5_HUMAN	8	tp_4	STMN1_HUMAN_S38
MK01_HUMAN	23	tp_4	ATF2_HUMAN_T71
PAK1_HUMAN	5	tp_4	STMN1_HUMAN_S38
CDK1_HUMAN	20	tp_4	APC1_HUMAN_S688
LATS2_HUMAN	9	tp_4	YAP1_HUMAN_S109
AURKA_HUMAN	9	tp_4	LATS2_HUMAN_S380
KAPCA_HUMAN	16	tp_4	EF2K_HUMAN_S500
LATS2_HUMAN_S380	9	tp_4	LATS2_HUMAN
EF2K_HUMAN_S500	16	tp_4	EF2K_HUMAN
MK01_HUMAN	16	tp_4	STMN1_HUMAN_S38
KPC_HUMAN	2	tp_4	STMN1_HUMAN_S38
MK03_HUMAN	9	tp_4	ATF2_HUMAN_T71
MK03_HUMAN	3	tp_4	STMN1_HUMAN_S38
KAPCA_HUMAN	2	tp_4	STK38_HUMAN_S11
STK38_HUMAN_S11	2	tp_4	STK38_HUMAN
p38_HUMAN	9	tp_4	ATF2_HUMAN_T69
MK01_HUMAN	6	tp_4	ATF2_HUMAN_T69
CDK1_HUMAN	5	tp_4	STMN1_HUMAN_S38
MK03_HUMAN	1	tp_4	STMN1_HUMAN_S25
ATR_HUMAN	3	tp_4	STMN1_HUMAN_S38
CDK1_HUMAN	2	tp_4	FOXK2_HUMAN_S428
p38_HUMAN	2	tp_4	STMN1_HUMAN_S38
p38_HUMAN	4	tp_4	ATF2_HUMAN_T71
LATS1_HUMAN	1	tp_4	YAP1_HUMAN_S109
SRC_HUMAN	1	tp_4	STK3_HUMAN_T180
STK3_HUMAN	1	tp_4	LATS1_HUMAN_T1060
STK3_HUMAN_T180	1	tp_4	STK3_HUMAN
LATS1_HUMAN_T1060	1	tp_4	LATS1_HUMAN
ATM_HUMAN	58	tp_5	BRE1A_HUMAN_S522
CDK5_HUMAN	48	tp_5	HD_HUMAN_S432
MK01_HUMAN	58	tp_5	GORS2_HUMAN_T225
MK01_HUMAN	53	tp_5	GORS2_HUMAN_T222
MARK2_HUMAN	70	tp_5	ARHG2_HUMAN_S172
KS6A5_HUMAN	67	tp_5	TBCD4_HUMAN_S341
CDK1_HUMAN	63	tp_5	P3C2A_HUMAN_S259
CDK1_HUMAN	69	tp_5	EZH2_HUMAN_T487
KPCD1_HUMAN	70	tp_5	KPCD1_HUMAN_S208
CDK1_HUMAN	68	tp_5	HMGA1_HUMAN_T53
CSK21_HUMAN	61	tp_5	IF4B_HUMAN_S498
CSK21_HUMAN	57	tp_5	MDC1_HUMAN_S402
MKNK1_HUMAN	56	tp_5	ROA1_HUMAN_S364
KPCD1_HUMAN	73	tp_5	KPCD1_HUMAN_S205
PAK2_HUMAN	56	tp_5	MKNK1_HUMAN_S39
MKNK1_HUMAN_S39	56	tp_5	MKNK1_HUMAN
PAK2_HUMAN	10	tp_5	MYL9_HUMAN_S20
p38_HUMAN	1	tp_5	KS6A5_HUMAN_S360
KS6A5_HUMAN_S360	1	tp_5	KS6A5_HUMAN
